iter	Passed	Remaining
341	2887	22444
342	2895	22432
343	2903	22417
344	2911	22402
345	2918	22386
346	2925	22370
347	2933	22356
348	2941	22343
349	2948	22327
350	2956	22312
351	2964	22299
352	2971	22283
353	2979	22269
354	2986	22253
355	2994	22238
356	3001	22224
357	3009	22206
358	3016	22192
359	3024	22176
360	3031	22160
361	3038	22143
362	3046	22132
363	3055	22124
364	3063	22115
365	3071	22104
366	3079	22094
367	3088	22090
368	3097	22087
369	3106	22078
370	3114	22070
371	3123	22067
372	3131	22053
373	3139	22041
374	3146	22025
375	3154	22012
376	3161	21997
377	3169	21985
378	3177	21971
379	3184	21959
380	3192	21944
381	3200	21930
382	3207	21915
383	3214	21900
384	3222	21887
385	3230	21876
386	3237	21860
387	3246	21853
388	3254	21843
389	3261	21828
390	3269	21813
391	3276	21797
392	3283	21780
393	3290	21762
394	3297	21744
395	3304	21729
396	3311	21714
397	3319	21699
398	3326	21684
399	3333	21669
400	3341	21655
401	3348	21641
402	3355	21626
403	3363	21612
404	3370	21595
405	3377	21577
406	3384	21562
407	3391	21545
408	3398	21531
409	3406	21518
410	3413	21503
411	3420	21485
412	3427	21471
413	3435	21457
414	3442	21444
415	3450	21430
416	3457	21415
417	3464	21401
418	3472	21388
419	3479	21375
420	3487	21361
421	3494	21350
422	3502	21338
423	3510	21329
424	3518	21319
425	3526	21305
426	3533	21293
427	3542	21286
428	3550	21279
429	3558	21271
430	3567	21262
431	3575	21252
432	3583	21242
433	3590	21230
434	3598	21216
435	3605	21205
436	3613	21192
437	3620	21177
438	3628	21166
439	3635	21153
440	3643	21140
441	3650	21129
442	3658	21114
443	3665	21102
444	3673	21090
445	3681	21080
446	3689	21070
447	3696	21058
448	3704	21047
449	3711	21034
450	3719	21022
451	3727	21012
452	3739	21026
453	3759	21080
454	3776	21122
455	3791	21153
456	3807	21189
457	3822	21213
458	3830	21204
459	3837	21192
460	3845	21181
461	3853	21171
462	3861	21159
463	3869	21148
464	3877	21140
465	3885	21129
466	3893	21118
467	3901	21108
468	3910	21105
469	3919	21098
470	3927	21090
471	3935	21079
472	3943	21068
473	3951	21056
474	3959	21047
475	3967	21036
476	3975	21027
477	3983	21016
478	3991	21007
479	3999	20999
480	4007	20987
481	4015	20976
482	4023	20968
483	4030	20954
484	4038	20940
485	4045	20925
486	4053	20914
487	4060	20900
488	4068	20891
489	4076	20880
490	4084	20869
491	4091	20857
492	4099	20847
493	4106	20833
494	4114	20824
495	4122	20809
496	4129	20796
497	4136	20782
498	4144	20770
499	4151	20756
500	4158	20742
501	4166	20730
502	4173	20718
503	4181	20707
504	4189	20696
505	4196	20685
506	4204	20672
507	4211	20660
508	4219	20649
509	4227	20639
510	4234	20626
511	4241	20612
512	4248	20597
513	4255	20583
514	4263	20570
515	4271	20562
516	4280	20558
517	4290	20556
518	4298	20548
519	4307	20541
520	4314	20531
521	4322	20518
522	4330	20511
523	4338	20502
524	4346	20490
525	4353	20476
526	4361	20464
527	4368	20452
528	4376	20443
529	4384	20431
530	4392	20422
531	4399	20411
532	4407	20401
533	4414	20387
534	4422	20377
535	4430	20368
536	4439	20362
537	4447	20354
538	4455	20343
539	4463	20335
540	4471	20322
541	4478	20310
542	4486	20298
543	4493	20286
544	4500	20272
545	4508	20263
546	4515	20250
547	4522	20237
548	4530	20226
549	4537	20212
550	4544	20199
551	4552	20187
552	4559	20177
553	4567	20165
554	4574	20153
555	4582	20141
556	4589	20129
557	4596	20117
558	4603	20104
559	4610	20090
560	4618	20077
561	4625	20064
562	4632	20052
563	4639	20040
564	4647	20028
565	4654	20017
566	4662	20004
567	4668	19990
568	4675	19976
569	4683	19967
570	4690	19954
571	4698	19943
572	4705	19930
573	4712	19917
574	4719	19905
575	4726	19892
576	4734	19879
577	4741	19866
578	4747	19852
579	4755	19841
580	4762	19829
581	4769	19816
582	4777	19804
583	4784	19791
584	4791	19779
585	4798	19767
586	4805	19754
587	4813	19743
588	4820	19731
589	4827	19718
590	4834	19705
591	4841	19692
592	4848	19680
593	4855	19667
594	4862	19654
595	4869	19642
596	4876	19629
597	4883	19616
598	4890	19603
599	4897	19591
600	4905	19579
601	4912	19567
602	4919	19554
603	4926	19543
604	4933	19531
605	4941	19519
606	4950	19516
607	4975	19572
608	4993	19604
609	5007	19618
610	5018	19623
611	5041	19672
612	5050	19665
613	5058	19655
614	5065	19646
615	5073	19636
616	5082	19627
617	5090	19619
618	5098	19610
619	5106	19600
620	5113	19590
621	5121	19580
622	5129	19571
623	5137	19561
624	5145	19552
625	5152	19541
626	5160	19530
627	5168	19521
628	5176	19512
629	5184	19502
630	5191	19492
631	5199	19481
632	5207	19472
633	5215	19461
634	5222	19451
635	5230	19443
636	5238	19433
637	5246	19423
638	5254	19413
639	5261	19401
640	5269	19393
641	5277	19384
642	5285	19374
643	5293	19364
644	5301	19354
645	5308	19344
646	5316	19334
647	5324	19324
648	5331	19314
649	5339	19304
650	5347	19294
651	5354	19282
652	5361	19271
653	5369	19261
654	5376	19249
655	5384	19239
656	5392	19229
657	5399	19218
658	5407	19208
659	5414	19197
660	5421	19186
661	5429	19174
662	5436	19162
663	5443	19151
664	5451	19141
665	5459	19134
666	5468	19127
667	5476	19120
668	5485	19113
669	5494	19107
670	5503	19101
671	5511	19093
672	5521	19090
673	5531	19090
674	5539	19081
675	5547	19073
676	5556	19064
677	5564	19055
678	5572	19047
679	5580	19038
680	5587	19027
681	5595	19017
682	5602	19006
683	5610	18997
684	5617	18986
685	5625	18976
686	5634	18970
687	5643	18964
688	5650	18953
689	5659	18946
690	5667	18937
691	5676	18930
692	5683	18921
693	5691	18911
694	5698	18900
695	5707	18894
696	5715	18886
697	5724	18878
698	5732	18869
699	5739	18859
700	5747	18849
701	5754	18838
702	5762	18827
703	5769	18815
704	5776	18804
705	5784	18795
706	5791	18784
707	5799	18774
708	5807	18764
709	5814	18753
710	5821	18741
711	5828	18730
712	5836	18720
713	5843	18708
714	5849	18695
715	5856	18682
716	5863	18669
717	5870	18658
718	5877	18646
719	5884	18635
720	5892	18625
721	5899	18614
722	5906	18602
723	5913	18591
724	5921	18580
725	5928	18568
726	5935	18556
727	5943	18547
728	5950	18538
729	5957	18526
730	5964	18514
731	5971	18502
732	5978	18489
733	5985	18477
734	5991	18465
735	5998	18452
736	6005	18440
737	6012	18428
738	6019	18416
739	6026	18405
740	6033	18393
741	6040	18381
742	6047	18369
743	6054	18357
744	6061	18345
745	6067	18333
746	6074	18322
747	6081	18309
748	6088	18299
749	6095	18286
750	6102	18274
751	6109	18262
752	6116	18251
753	6123	18240
754	6131	18230
755	6137	18219
756	6157	18243
757	6175	18266
758	6192	18282
759	6203	18284
760	6226	18318
761	6235	18312
762	6243	18304
763	6250	18294
764	6258	18285
765	6266	18274
766	6274	18266
767	6282	18257
768	6289	18248
769	6297	18238
770	6305	18228
771	6313	18219
772	6320	18210
773	6328	18200
774	6336	18191
775	6344	18182
776	6353	18176
777	6361	18167
778	6369	18160
779	6377	18152
780	6386	18144
781	6394	18135
782	6402	18126
783	6409	18117
784	6417	18108
785	6425	18099
786	6433	18090
787	6440	18080
788	6448	18069
789	6455	18060
790	6464	18051
791	6471	18042
792	6479	18032
793	6486	18020
794	6493	18010
795	6500	17999
796	6508	17990
797	6516	17980
798	6523	17970
799	6530	17959
800	6538	17949
801	6544	17937
802	6551	17925
803	6558	17913
804	6565	17901
805	6572	17890
806	6578	17877
807	6585	17866
808	6592	17854
809	6599	17843
810	6606	17832
811	6613	17820
812	6620	17810
813	6629	17802
814	6637	17795
815	6646	17788
816	6654	17780
817	6661	17770
818	6669	17760
819	6677	17751
820	6684	17742
821	6693	17734
822	6700	17725
823	6708	17716
824	6716	17707
825	6724	17699
826	6732	17690
827	6740	17682
828	6749	17675
829	6758	17669
830	6769	17669
831	6778	17662
832	6789	17661
833	6798	17656
834	6807	17650
835	6817	17646
836	6825	17638
837	6834	17633
838	6843	17625
839	6851	17618
840	6858	17607
841	6867	17599
842	6874	17590
843	6884	17586
844	6893	17579
845	6901	17571
846	6909	17562
847	6917	17554
848	6925	17546
849	6933	17538
850	6941	17529
851	6950	17522
852	6957	17512
853	6966	17505
854	6973	17495
855	6982	17487
856	6989	17478
857	6998	17471
858	7006	17463
859	7015	17456
860	7022	17445
861	7030	17437
862	7037	17426
863	7045	17416
864	7052	17406
865	7059	17396
866	7067	17386
867	7074	17375
868	7081	17366
869	7089	17356
870	7097	17347
871	7104	17337
872	7112	17328
873	7118	17316
874	7126	17306
875	7133	17295
876	7140	17284
877	7147	17274
878	7154	17264
879	7162	17254
880	7169	17243
881	7176	17234
882	7184	17223
883	7191	17213
884	7198	17203
885	7205	17193
886	7213	17183
887	7220	17173
888	7227	17163
889	7235	17154
890	7242	17143
891	7250	17135
892	7258	17125
893	7265	17115
894	7272	17105
895	7280	17095
896	7287	17085
897	7294	17075
898	7302	17066
899	7309	17056
900	7317	17047
901	7337	17066
902	7355	17082
903	7372	17093
904	7381	17087
905	7389	17079
906	7398	17072
907	7410	17073
908	7428	17087
909	7436	17080
910	7445	17072
911	7453	17063
912	7461	17055
913	7469	17048
914	7478	17040
915	7486	17031
916	7494	17023
917	7502	17015
918	7510	17007
919	7518	16998
920	7526	16989
921	7534	16982
922	7543	16974
923	7551	16966
924	7559	16956
925	7566	16947
926	7575	16940
927	7583	16931
928	7590	16922
929	7599	16914
930	7606	16905
931	7614	16896
932	7623	16888
933	7630	16879
934	7640	16874
935	7648	16865
936	7655	16855
937	7663	16846
938	7670	16836
939	7678	16826
940	7686	16818
941	7694	16810
942	7702	16801
943	7709	16791
944	7718	16785
945	7727	16777
946	7734	16768
947	7743	16760
948	7751	16753
949	7759	16745
950	7767	16736
951	7775	16727
952	7783	16718
953	7790	16708
954	7799	16700
955	7807	16693
956	7816	16687
957	7825	16679
958	7833	16672
959	7841	16664
960	7851	16659
961	7861	16654
962	7871	16650
963	7881	16646
964	7890	16640
965	7900	16634
966	7910	16630
967	7918	16623
968	7928	16618
969	7936	16609
970	7945	16602
971	7953	16593
972	7961	16585
973	7969	16576
974	7977	16567
975	7985	16559
976	7994	16552
977	8001	16543
978	8010	16535
979	8018	16528
980	8027	16520
981	8034	16511
982	8043	16503
983	8051	16495
984	8059	16486
985	8067	16477
986	8074	16468
987	8082	16459
988	8091	16453
989	8099	16444
990	8107	16435
991	8114	16425
992	8122	16416
993	8129	16406
994	8137	16397
995	8144	16387
996	8152	16378
997	8159	16368
998	8167	16358
999	8174	16349
1000	8182	16340
1001	8189	16330
1002	8197	16320
1003	8204	16311
1004	8212	16302
1005	8220	16294
1006	8228	16284
1007	8235	16274
1008	8242	16265
1009	8250	16255
1010	8257	16246
1011	8265	16236
1012	8272	16227
1013	8279	16216
1014	8287	16207
1015	8294	16197
1016	8301	16187
1017	8309	16177
1018	8316	16168
1019	8324	16159
1020	8332	16151
1021	8340	16142
1022	8347	16132
1023	8355	16123
1024	8363	16115
1025	8371	16106
1026	8379	16097
1027	8387	16089
1028	8395	16080
1029	8403	16072
1030	8411	16063
1031	8419	16055
1032	8426	16046
1033	8434	16036
1034	8442	16028
1035	8450	16019
1036	8457	16010
1037	8465	16001
1038	8472	15991
1039	8480	15982
1040	8487	15972
1041	8495	15964
1042	8503	15955
1043	8511	15946
1044	8519	15938
1045	8530	15935
1046	8549	15947
1047	8564	15952
1048	8578	15955
1049	8587	15947
1050	8595	15940
1051	8604	15932
1052	8616	15932
1053	8634	15941
1054	8644	15936
1055	8653	15930
1056	8662	15923
1057	8670	15915
1058	8678	15907
1059	8686	15898
1060	8694	15890
1061	8703	15881
1062	8711	15873
1063	8719	15865
1064	8729	15859
1065	8737	15851
1066	8745	15843
1067	8753	15834
1068	8761	15826
1069	8769	15818
1070	8778	15810
1071	8786	15802
1072	8795	15794
1073	8802	15785
1074	8811	15778
1075	8819	15769
1076	8827	15761
1077	8835	15752
1078	8842	15743
1079	8850	15734
1080	8857	15724
1081	8865	15714
1082	8872	15705
1083	8879	15695
1084	8887	15685
1085	8894	15675
1086	8901	15665
1087	8908	15655
1088	8915	15645
1089	8922	15635
1090	8930	15625
1091	8937	15616
1092	8945	15607
1093	8953	15598
1094	8961	15590
1095	8970	15583
1096	8978	15575
1097	8986	15566
1098	8993	15557
1099	9000	15546
1100	9008	15537
1101	9015	15528
1102	9023	15518
1103	9030	15508
1104	9037	15499
1105	9046	15491
1106	9054	15484
1107	9062	15475
1108	9071	15467
1109	9079	15459
1110	9087	15451
1111	9095	15442
1112	9103	15434
1113	9111	15426
1114	9120	15418
1115	9127	15409
1116	9135	15400
1117	9142	15390
1118	9151	15382
1119	9158	15373
1120	9166	15364
1121	9174	15355
1122	9181	15346
1123	9189	15338
1124	9197	15329
1125	9206	15321
1126	9214	15313
1127	9222	15305
1128	9230	15296
1129	9238	15287
1130	9245	15278
1131	9253	15269
1132	9261	15262
1133	9269	15253
1134	9277	15244
1135	9285	15235
1136	9293	15226
1137	9301	15219
1138	9308	15209
1139	9316	15201
1140	9324	15192
1141	9332	15183
1142	9339	15173
1143	9347	15164
1144	9354	15155
1145	9362	15146
1146	9370	15137
1147	9377	15127
1148	9385	15119
1149	9392	15109
1150	9400	15101
1151	9408	15092
1152	9415	15082
1153	9422	15072
1154	9429	15063
1155	9436	15053
1156	9444	15043
1157	9451	15035
1158	9459	15025
1159	9467	15017
1160	9474	15007
1161	9482	14999
1162	9490	14990
1163	9498	14982
1164	9505	14972
1165	9513	14963
1166	9520	14954
1167	9527	14943
1168	9534	14933
1169	9541	14923
1170	9549	14915
1171	9557	14906
1172	9564	14897
1173	9571	14887
1174	9578	14877
1175	9586	14868
1176	9593	14858
1177	9600	14849
1178	9607	14839
1179	9615	14830
1180	9621	14819
1181	9629	14810
1182	9635	14799
1183	9642	14790
1184	9649	14780
1185	9656	14769
1186	9663	14759
1187	9669	14748
1188	9676	14738
1189	9683	14728
1190	9690	14719
1191	9698	14709
1192	9704	14699
1193	9711	14689
1194	9718	14679
1195	9732	14679
1196	9745	14678
1197	9757	14676
1198	9769	14675
1199	9778	14668
1200	9786	14659
1201	9794	14651
1202	9809	14653
1203	9822	14651
1204	9830	14643
1205	9837	14634
1206	9845	14625
1207	9853	14616
1208	9860	14607
1209	9868	14598
1210	9875	14589
1211	9883	14580
1212	9891	14571
1213	9898	14562
1214	9906	14553
1215	9913	14544
1216	9921	14536
1217	9929	14527
1218	9937	14518
1219	9944	14509
1220	9953	14502
1221	9961	14493
1222	9969	14485
1223	9978	14478
1224	9987	14471
1225	9995	14463
1226	10003	14455
1227	10012	14447
1228	10020	14439
1229	10028	14431
1230	10035	14422
1231	10043	14412
1232	10050	14403
1233	10058	14394
1234	10066	14386
1235	10073	14377
1236	10081	14367
1237	10087	14357
1238	10094	14347
1239	10101	14338
1240	10109	14329
1241	10117	14320
1242	10124	14311
1243	10132	14302
1244	10139	14292
1245	10146	14283
1246	10153	14273
1247	10160	14264
1248	10167	14254
1249	10174	14244
1250	10181	14234
1251	10188	14225
1252	10195	14215
1253	10202	14205
1254	10209	14195
1255	10216	14186
1256	10223	14176
1257	10230	14166
1258	10237	14156
1259	10245	14148
1260	10253	14140
1261	10261	14132
1262	10270	14124
1263	10278	14116
1264	10286	14107
1265	10294	14099
1266	10302	14091
1267	10309	14082
1268	10317	14073
1269	10324	14064
1270	10331	14054
1271	10338	14045
1272	10345	14035
1273	10353	14027
1274	10360	14017
1275	10367	14008
1276	10374	13998
1277	10382	13989
1278	10389	13980
1279	10396	13970
1280	10404	13961
1281	10411	13952
1282	10419	13943
1283	10426	13934
1284	10434	13926
1285	10442	13917
1286	10449	13908
1287	10456	13898
1288	10463	13889
1289	10471	13880
1290	10478	13870
1291	10485	13861
1292	10492	13852
1293	10499	13842
1294	10506	13832
1295	10513	13822
1296	10519	13813
1297	10526	13803
1298	10533	13793
1299	10540	13783
1300	10547	13773
1301	10554	13764
1302	10561	13754
1303	10568	13744
1304	10574	13735
1305	10581	13725
1306	10588	13715
1307	10595	13705
1308	10603	13697
1309	10610	13688
1310	10617	13678
1311	10624	13668
1312	10631	13659
1313	10637	13649
1314	10644	13639
1315	10650	13628
1316	10657	13618
1317	10664	13609
1318	10670	13599
1319	10677	13589
1320	10683	13579
1321	10690	13569
1322	10697	13559
1323	10704	13550
1324	10711	13541
1325	10718	13531
1326	10725	13522
1327	10732	13512
1328	10739	13503
1329	10746	13493
1330	10753	13483
1331	10760	13474
1332	10767	13465
1333	10774	13455
1334	10781	13446
1335	10788	13436
1336	10794	13427
1337	10802	13417
1338	10808	13407
1339	10815	13398
1340	10822	13388
1341	10828	13378
1342	10835	13368
1343	10842	13359
1344	10848	13349
1345	10855	13339
1346	10862	13329
1347	10868	13320
1348	10875	13310
1349	10882	13301
1350	10889	13291
1351	10896	13281
1352	10903	13272
1353	10910	13263
1354	10928	13267
1355	10946	13271
1356	10964	13275
1357	10976	13272
1358	11000	13283
1359	11008	13275
1360	11016	13267
1361	11024	13259
1362	11033	13250
1363	11040	13242
1364	11048	13233
1365	11055	13224
1366	11063	13215
1367	11070	13206
1368	11078	13198
1369	11085	13189
1370	11093	13180
1371	11101	13172
1372	11108	13163
1373	11116	13155
1374	11124	13146
1375	11131	13138
1376	11139	13129
1377	11147	13120
1378	11155	13113
1379	11163	13104
1380	11170	13095
1381	11178	13087
1382	11186	13079
1383	11194	13071
1384	11201	13062
1385	11209	13053
1386	11217	13044
1387	11224	13035
1388	11231	13026
1389	11238	13017
1390	11245	13008
1391	11252	12998
1392	11259	12989
1393	11267	12980
1394	11274	12971
1395	11281	12962
1396	11288	12952
1397	11295	12943
1398	11302	12934
1399	11309	12925
1400	11316	12915
1401	11323	12906
1402	11330	12897
1403	11337	12887
1404	11344	12878
1405	11351	12869
1406	11358	12859
1407	11364	12850
1408	11371	12840
1409	11378	12830
1410	11384	12820
1411	11391	12811
1412	11398	12801
1413	11405	12792
1414	11412	12783
1415	11420	12775
1416	11428	12767
1417	11435	12758
1418	11443	12750
1419	11450	12741
1420	11459	12733
1421	11466	12724
